Date,AAPL,BTC-USD,GLD,TSLA
2025-08-26,228.6630859375,111802.65625,312.0799865722656,351.6700134277344
2025-08-27,229.8397674560547,111222.0625,312.7099914550781,349.6000061035156
2025-08-28,231.90391540527344,112544.8046875,315.0299987792969,345.9800109863281
2025-08-29,231.485107421875,108410.8359375,318.07000732421875,333.8699951171875
2025-08-30,,108808.0703125,,
2025-08-31,,108236.7109375,,
2025-09-01,,109250.59375,,
2025-09-02,229.07192993164062,111200.5859375,325.5899963378906,329.3599853515625
2025-09-03,237.7972412109375,111723.2109375,328.1400146484375,334.0899963378906
2025-09-04,239.10354614257812,110723.6015625,326.69000244140625,338.5299987792969
2025-09-05,239.01380920410156,110650.984375,331.04998779296875,350.8399963378906
2025-09-06,,110224.6953125,,
2025-09-07,,111167.6171875,,
2025-09-08,237.20892333984375,112071.4296875,334.82000732421875,346.3999938964844
2025-09-09,233.6888885498047,111530.546875,334.05999755859375,346.9700012207031
2025-09-10,226.1501922607422,113955.359375,335.260009765625,347.7900085449219
2025-09-11,229.3810577392578,115507.5390625,334.760009765625,368.80999755859375
2025-09-12,233.40966796875,116101.578125,335.4200134277344,395.94000244140625
2025-09-13,,115950.5078125,,
2025-09-14,,115407.65625,,
2025-09-15,236.03224182128906,115444.875,338.9100036621094,410.0400085449219
2025-09-16,237.4781494140625,116843.1875,339.5899963378906,421.6199951171875
2025-09-17,238.3157958984375,116468.5078125,336.9700012207031,425.8599853515625
2025-09-18,237.20892333984375,117137.203125,335.6199951171875,416.8500061035156
2025-09-19,244.80740356445312,115688.859375,339.17999267578125,426.07000732421875
2025-09-20,,115721.9609375,,
2025-09-21,,115306.09375,,
2025-09-22,255.35755920410156,112748.5078125,345.04998779296875,434.2099914550781
2025-09-23,253.7122344970703,112014.5,346.4599914550781,425.8500061035156
2025-09-24,251.59820556640625,113328.6328125,343.32000732421875,442.7900085449219
2025-09-25,256.1453552246094,109049.2890625,344.75,423.3900146484375
2025-09-26,254.73931884765625,109712.828125,346.739990234375,440.3999938964844
2025-09-27,,109681.9453125,,
2025-09-28,,112122.640625,,
2025-09-29,253.7122344970703,114400.3828125,352.4599914550781,443.2099914550781
2025-09-30,253.9116668701172,114056.0859375,355.4700012207031,444.7200012207031
2025-10-01,254.72933959960938,118648.9296875,356.0299987792969,459.4599914550781
2025-10-02,256.40460205078125,120681.2578125,354.7900085449219,436.0
2025-10-03,257.2920837402344,122266.53125,357.6400146484375,429.8299865722656
2025-10-04,,122425.4296875,,
2025-10-05,,123513.4765625,,
2025-10-06,255.96585083007812,124752.53125,364.3800048828125,453.25
2025-10-07,255.7564697265625,121451.3828125,366.260009765625,433.0899963378906
2025-10-08,257.33197021484375,123354.8671875,372.29998779296875,438.69000244140625
2025-10-09,253.32330322265625,121705.5859375,365.42999267578125,435.5400085449219
2025-10-10,244.57806396484375,113214.3671875,369.1199951171875,413.489990234375
2025-10-11,,110807.8828125,,
2025-10-12,,115169.765625,,
2025-10-13,246.96131896972656,115271.078125,378.0899963378906,435.8999938964844
2025-10-14,247.07101440429688,113118.6640625,380.7900085449219,429.239990234375
2025-10-15,248.63658142089844,110783.1640625,387.3900146484375,435.1499938964844
2025-10-16,246.75192260742188,108186.0390625,396.45001220703125,428.75
2025-10-17,251.57826232910156,106467.7890625,388.989990234375,439.30999755859375
2025-10-18,,107198.265625,,
2025-10-19,,108666.7109375,,
2025-10-20,261.5001525878906,110588.9296875,403.1499938964844,447.42999267578125
2025-10-21,262.0286865234375,108476.890625,377.239990234375,442.6000061035156
2025-10-22,257.72088623046875,107688.5859375,377.2799987792969,438.9700012207031
2025-10-23,258.84771728515625,110069.7265625,378.7900085449219,448.9800109863281
2025-10-24,262.07855224609375,111033.921875,377.5199890136719,433.7200012207031
2025-10-25,,111641.7265625,,
2025-10-26,,114472.4453125,,
2025-10-27,268.0516357421875,114119.328125,367.010009765625,452.4200134277344
2025-10-28,268.2410888671875,112956.1640625,364.3800048828125,460.54998779296875
2025-10-29,268.93914794921875,110055.3046875,363.0,461.510009765625
2025-10-30,270.63433837890625,108305.546875,370.1300048828125,440.1000061035156
2025-10-31,269.60723876953125,109556.1640625,368.1199951171875,456.55999755859375
2025-11-01,,110064.015625,,
2025-11-02,,110639.625,,
2025-11-03,268.2909851074219,106547.5234375,368.7799987792969,468.3699951171875
2025-11-04,269.2781982421875,101590.5234375,362.32000732421875,444.260009765625
2025-11-05,269.3778991699219,103891.8359375,366.510009765625,462.07000732421875
2025-11-06,269.0089416503906,101301.2890625,366.07000732421875,445.9100036621094
2025-11-07,267.7126159667969,103372.40625,368.30999755859375,429.5199890136719
2025-11-08,,102282.1171875,,
2025-11-09,,104719.640625,,
2025-11-10,268.9303283691406,105996.59375,378.3800048828125,445.2300109863281
2025-11-11,274.73956298828125,102997.46875,379.8699951171875,439.6199951171875
2025-11-12,272.962890625,101663.1875,385.989990234375,430.6000061035156
2025-11-13,272.4438171386719,99697.4921875,382.8699951171875,401.989990234375
2025-11-14,271.90484619140625,94397.7890625,375.9599914550781,404.3500061035156
2025-11-15,,95549.1484375,,
2025-11-16,,94177.078125,,
2025-11-17,266.9639892578125,92093.875,371.6499938964844,408.9200134277344
2025-11-18,266.94403076171875,92948.875,374.3500061035156,401.25
2025-11-19,268.0619812011719,91465.9921875,374.9599914550781,403.989990234375
2025-11-20,265.7562561035156,86631.8984375,374.8500061035156,395.2300109863281
2025-11-21,270.98651123046875,85090.6875,374.2699890136719,391.0899963378906
2025-11-22,,84648.359375,,
2025-11-23,,86805.0078125,,
2025-11-24,275.4083557128906,88270.5625,380.20001220703125,417.7799987792969
2025-11-25,276.45635986328125,87341.890625,380.0799865722656,419.3999938964844
2025-11-26,277.0353088378906,90518.3671875,383.1199951171875,426.5799865722656
2025-11-27,,91285.375,,
2025-11-28,278.3328857421875,90919.265625,387.8800048828125,430.1700134277344
2025-11-29,,90851.7578125,,
2025-11-30,,90394.3125,,
2025-12-01,282.57501220703125,86321.5703125,389.75,430.1400146484375
2025-12-02,285.6592712402344,91350.203125,387.239990234375,429.239990234375
2025-12-03,283.623046875,93527.8046875,386.8800048828125,446.739990234375
2025-12-04,280.179443359375,92141.625,387.1300048828125,454.5299987792969
2025-12-05,278.26300048828125,89387.7578125,386.44000244140625,455.0
2025-12-06,,89272.375,,
2025-12-07,,90405.640625,,
